Brand,Restaurant ID,Site,RWT Adjustment,Order Inaccuracy Adjustment,Opening Hours Adjustment,JBP Discount,Headline Commission,Total Commission Change,New Commission
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,25.86%,4.30%,21.56%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,26.40%,4.30%,22.10%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,27.82%,4.30%,23.52%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,25.62%,4.30%,21.32%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,32.59%,4.30%,28.29%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,27.04%,4.30%,22.74%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,31.59%,4.30%,27.29%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,30.00%,4.30%,25.70%
Sessions Market,598051,Backstreet Bowls - Baldock,-1.4,-2.4,0,-0.5,28.78%,4.30%,24.48%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,32.59%,2.70%,29.89%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,25.62%,2.70%,22.92%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,26.40%,2.70%,23.70%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,27.82%,2.70%,25.12%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,30.00%,2.70%,27.30%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,31.59%,2.70%,28.89%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,25.86%,2.70%,23.16%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,28.78%,2.70%,26.08%
Sessions Market,693194,Backstreet Bowls @ Addiscombe Pizza + Grill,0.8,-2.2,-0.8,-0.5,27.04%,2.70%,24.34%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,30.00%,3.90%,26.10%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,31.59%,3.90%,27.69%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,26.40%,3.90%,22.50%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,27.82%,3.90%,23.92%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,25.62%,3.90%,21.72%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,32.59%,3.90%,28.69%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,27.04%,3.90%,23.14%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,28.78%,3.90%,24.88%
Sessions Market,687376,Backstreet Bowls @ Badi Mirchi - Eastleigh,-1,-1.2,-1.2,-0.5,25.86%,3.90%,21.96%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,27.04%,3.10%,23.94%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,31.59%,3.10%,28.49%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,26.40%,3.10%,23.30%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,27.82%,3.10%,24.72%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,25.86%,3.10%,22.76%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,30.00%,3.10%,26.90%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,32.59%,3.10%,29.49%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,25.62%,3.10%,22.52%
Sessions Market,666629,Backstreet Bowls @ BFG Kitchen,-0.2,-1.2,-1.2,-0.5,28.78%,3.10%,25.68%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,27.04%,1.70%,25.34%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,28.78%,1.70%,27.08%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,26.40%,1.70%,24.70%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,25.62%,1.70%,23.92%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,30.00%,1.70%,28.30%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,25.86%,1.70%,24.16%
Sessions Market,603341,Backstreet Bowls @ CATCH Netherlee,-0.4,-0.8,0,-0.5,27.82%,1.70%,26.12%
