restaurant_id,name
126943,SoBe Burger - Gate Group Shoreditch
164155,Mikos Gyros - Brixton
188806,Chick'N'Bun - Shoreditch
194177,Peri Peri Original - Hitchin
229873,SoBe Burger @ The Waterfront - CHURNED
229875,Chick'N'Bun @ Waterfront
255239,Mikos Gyros - Shoreditch
259093,Sessions Market - Brighton
260679,Smorl's @ Shelter Hall
260682,Carlito Burrito @ Shelter Hall
260687,Lost Boys Chicken @ Shelter Hall
260692,Fatto Pizza @ Shelter Hall
260697,Toasted - GB Charcuterie @ Shelter Hall
265568,Clean Kitchen Club @ Shelter Hall
266060,Curry Leaf Cafe - Shelter Hall
275006,Lost Boys Chicken @ The Aeronaut
275013,Lost Boys Chicken @ The Prince Albert
275017,Lost Boys Chicken @ The Four Thieves
275035,Sessions VB 1
275036,Sessions VB 2
275037,Sessions VB 3
275038,Sessions VB 4
275039,Sessions VB 5
281813,Chick Chick Crew @ Greenwood
281831,Chick Chick Crew @ Westwood
281886,Lost Boys Chicken @ Long Arm
282045,Lost Boys @ Adam and Eve
282050,Lost Boys Chicken @ The Birds
282052,Lost Boys Chicken @ Glasshouse
282055,Lost Boys Chicken @ People's Park Tavern
282058,Lost Boys Chicken @ Village Green
282062,Lost Boys Chicken @ Watson’s General Telegraph
282872,Fanny's Kebabs @ Aeronaut
282877,Pleesecakes @ Aeronaut
282886,Fanny's Kebabs @ Prince Albert
282890,Pleesecakes @ Prince Albert
284966,Fanny's Kebabs @ People Parks Tavern
285112,Pleesecakes @ Watson’s General Telegraph
285190,Chick Chick Crew @ Redwood
288672,Halo Burger @ Holiday Inn Bristol City Centre
288674,Chick Chick Crew @ Holiday Inn Bristol City Centre
288677,Pleesecakes @ Holiday Inn Bristol City Centre
292368,Halo Burger- Plant Based @ Fountain Head
293288,Fanny's Kebabs @ Westwood
293327,Pleesecakes @ Westwood
293337,Chick Chick Crew @ Tommy Tucker
295364,Chick'N'Bun - Battersea
295772,Westwood Pizza @ Westwood
296999,SoBe Burger @ Gate Group Battersea
299105,Barrel & Stone @ Weston Beach Cafe
299106,Sessions Wine Cellar @ Kobe Jones
303775,Lost Boys Chicken @ Paesan
309231,Long Arm Burger @ Westwood
312349,Yafs
314342,Fanny's Kebabs @ Smoky Corner
315642,Fanny's Kebabs @ Redwood
315643,Greenwood Pizza @ Redwood
315644,Long Arm Burger @ Redwood
315645,Pleesecakes @ Redwood
315646,Greenwood Pizza @ Greenwood
315647,Pleesecakes @ Greenwood
315648,Fanny's Kebabs @ Greenwood
315649,Long Arm Burger @ Greenwood
317749,Fanny's Kebabs @ Burdock
317751,Greenwood Pizza @ Burdock
317752,Pleesecakes @ Burdock
317753,Long Arm Burger @ Long Arm
317760,Retro Feasts @ Chiswick
319002,Barburrito @ Tommy Tucker
319003,Lost Boys Chicken @ Penta Reading*CHURNED*
319004,Pizza on the Square @ The Botanist
323100,Lost Boys Chicken @ Chiswick
323101,Lost Boys Chicken @ Penta Birmingham
323102,Halo Burger @ IHG Glasgow
323106,Retro Feasts @ IHG Glasgow
323107,Lost Boys Chicken @ IHG Glasgow
324085,Amalfi by VIP - Shelter Hall
324086,Ox Block by Kenny Tutt - Shelter Hall
324087,Zest by Hanoi Kitchen - Shelter Hall
324088,Caught by Crab Shack - Shelter Hall
324089,Pan by Lost Boys - Shelter Hall
324090,Tart by Sugardough - Shelter Hall
325115,Lost Boys Chicken @ Solita Harrogate
325116,Lost Boys Chicken @ Solita Manchester
325117,Chick Chick Crew @ Solita York
325119,Lost Boys Chicken @ Solita Hull
325120,Halo Burger @ Selina Camden
325121,Lost Boys Chicken @ Solita Sheffield
326216,Lost Boys @ Pirate Kitchen
326217,Retro Feast @ Clock N8
